[Debug  ] <VideoWaveformScopeWidget::VideoWaveformScopeWidget> begin 
[Debug  ] <VideoWaveformScopeWidget::VideoWaveformScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeWidget::ScopeWidget> begin true 
[Debug  ] <ScopeWidget::ScopeWidget> end 
[Debug  ] <VideoZoomWidget::VideoZoomWidget> begin 
[Debug  ] <VideoZoomWidget::VideoZoomWidget> end 
[Debug  ] <VideoZoomScopeWidget::VideoZoomScopeWidget> begin 
[Debug  ] <VideoZoomScopeWidget::VideoZoomScopeWidget> end 
[Debug  ] <ScopeDock::ScopeDock> begin 
[Debug  ] <ScopeDock::ScopeDock> end 
[Debug  ] <ScopeController::ScopeController> end 
[Debug  ] <RecentDock::RecentDock> begin 
[Debug  ] <RecentDock::RecentDock> end 
[Debug  ] <PlaylistDock::PlaylistDock> begin 
[Debug  ] <PlaylistDock::PlaylistDock> end 
[Debug  ] <TimelineDock::TimelineDock> begin 
[Debug  ] <TimelineDock::TimelineDock> end 
[Debug  ] <FiltersDock::FiltersDock> begin 
[Debug  ] <FiltersDock::FiltersDock> end 
[Debug  ] <KeyframesDock::KeyframesDock> begin 
[Debug  ] <KeyframesDock::KeyframesDock> end 
[Debug  ] <EncodeDock::EncodeDock> begin 
[Debug  ] <EncodeDock::EncodeDock> end 
[Debug  ] <JobsDock::JobsDock> begin 
[Debug  ] <JobsDock::JobsDock> end 
[Debug  ] <MainWindow::readWindowSettings> begin 
[Debug  ] <MainWindow::readWindowSettings> end 
[Debug  ] <LeapNetworkListener::start> begin 
[Debug  ] <MainWindow::MainWindow> end 
[Debug  ] <Database::run> Database version is 1 
[Warning] <> file:///usr/share/shotcut/qml/views/timeline/timeline.qml:649:5: QML Connections: Implicitly defined onFoo properties in Connections are deprecated. Use this syntax instead: function onFoo(<arguments>) { ... }
[Warning] <> file:///usr/share/shotcut/qml/views/timeline/timeline.qml:634:5: QML Connections: Implicitly defined onFoo properties in Connections are deprecated. Use this syntax instead: function onFoo(<arguments>) { ... }
[Warning] <> file:///usr/share/shotcut/qml/views/timeline/Ruler.qml:62:5: QML Connections: Implicitly defined onFoo properties in Connections are deprecated. Use this syntax instead: function onFoo(<arguments>) { ... }
[Warning] <> file:///usr/share/shotcut/qml/views/timeline/TimelineToolbar.qml:100:9: QML ToolBarToggle: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
[Warning] <> file:///usr/share/shotcut/qml/views/timeline/TimelineToolbar.qml:110:9: QML ToolBarToggle: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
[Warning] <> file:///usr/share/shotcut/qml/views/timeline/TimelineToolbar.qml:120:9: QML ToolBarToggle: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
[Warning] <> file:///usr/share/shotcut/qml/views/timeline/TimelineToolbar.qml:130:9: QML ToolBarToggle: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
[Debug  ] <FiltersDock::resetQview> begin 
[Warning] <> file:///usr/share/shotcut/qml/views/filter/filterview.qml:249:5: QML Connections: Implicitly defined onFoo properties in Connections are deprecated. Use this syntax instead: function onFoo(<arguments>) { ... }
[Warning] <> file:///usr/share/shotcut/qml/views/filter/FilterMenu.qml:104:13: QML ToggleButton: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
[Warning] <> file:///usr/share/shotcut/qml/views/filter/FilterMenu.qml:115:13: QML ToggleButton: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
[Warning] <> file:///usr/share/shotcut/qml/views/filter/FilterMenu.qml:125:13: QML ToggleButton: Detected anchors on an item that is managed by a layout. This is undefined behavior; use Layout.alignment instead.
[Debug  ] <Mlt::GLWidget::initializeGL> begin 
[Info   ] <Mlt::GLWidget::initializeGL> OpenGL vendor "X.Org" 
[Info   ] <Mlt::GLWidget::initializeGL> OpenGL renderer "Radeon RX 580 Series (POLARIS10, DRM 3.38.0, 5.8.1-arch1-1, LLVM 10.0.1)" 
